Experiment	bias spectroscopy	
Date	14.01.2016 15:19:44	
User		
X (m)	0E+0	
Y (m)	0E+0	
Z (m)	300E-9	
Z offset (m)	0E+0	
Settling time (s)	5E-3	
Integration time (s)	1E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	300E-9	
Filter type	Gaussian	
Order	6	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Current [bwd] (A)	Current (A) [filt]	Current (A) [bwd] [filt]
-59.4000E+0	1.21201E-9	1.48292E-9	1.19869E-9	1.48252E-9
-59.4500E+0	1.25112E-9	1.51500E-9	1.21896E-9	1.51005E-9
-59.5000E+0	1.19499E-9	1.53505E-9	1.24137E-9	1.53819E-9
-59.5500E+0	1.27581E-9	1.56325E-9	1.26387E-9	1.56501E-9
-59.6000E+0	1.30369E-9	1.59423E-9	1.29001E-9	1.59383E-9
-59.6500E+0	1.32593E-9	1.62350E-9	1.31287E-9	1.62203E-9
-59.7000E+0	1.27997E-9	1.64701E-9	1.33919E-9	1.65099E-9
-59.7500E+0	1.32367E-9	1.67748E-9	1.36703E-9	1.68051E-9
-59.8000E+0	1.40458E-9	1.71523E-9	1.39700E-9	1.71080E-9
-59.8500E+0	1.42153E-9	1.70012E-9	1.43001E-9	1.74210E-9
-59.9000E+0	1.49101E-9	1.79218E-9	1.46178E-9	1.77399E-9
-59.9500E+0	1.45150E-9	1.79531E-9	1.49433E-9	1.80660E-9
-60.0000E+0	1.54447E-9	1.84088E-9	1.52766E-9	1.83996E-9
-60.0500E+0	1.57511E-9	1.87226E-9	1.55967E-9	1.87418E-9
-60.1000E+0	1.62678E-9	1.91169E-9	1.59264E-9	1.90895E-9
-60.1500E+0	1.62772E-9	1.94404E-9	1.62366E-9	1.94430E-9
-60.2000E+0	1.65299E-9	1.97452E-9	1.65493E-9	1.98108E-9
-60.2500E+0	1.68621E-9	2.01239E-9	1.68500E-9	2.01708E-9
-60.3000E+0	1.72424E-9	2.04987E-9	1.71788E-9	2.04567E-9
-60.3500E+0	1.66926E-9	2.08770E-9	1.74895E-9	2.06774E-9
-60.4000E+0	1.78869E-9	2.12593E-9	1.78086E-9	2.08533E-9
-60.4500E+0	1.82629E-9	2.17017E-9	1.81324E-9	2.09850E-9
-60.5000E+0	1.85468E-9	2.19635E-9	1.84745E-9	2.10798E-9
-60.5500E+0	1.88307E-9	2.25747E-9	1.88223E-9	2.11492E-9
-60.6000E+0	1.92307E-9	2.06395E-9	1.91867E-9	2.12040E-9
-60.6500E+0	1.95047E-9	2.01465E-9	1.95818E-9	2.12641E-9
-60.7000E+0	1.98326E-9	2.04221E-9	2.00318E-9	2.13472E-9
-60.7500E+0	2.02381E-9	2.08360E-9	2.04721E-9	2.14633E-9
-60.8000E+0	2.05955E-9	2.12433E-9	2.09395E-9	2.16252E-9
-60.8500E+0	2.09312E-9	2.16701E-9	2.14124E-9	2.18396E-9
-60.9000E+0	2.16557E-9	2.20422E-9	2.19017E-9	2.21069E-9
-60.9500E+0	2.26543E-9	2.24629E-9	2.24074E-9	2.24879E-9
-61.0000E+0	2.33825E-9	2.28854E-9	2.29246E-9	2.29166E-9
-61.0500E+0	2.37603E-9	2.31941E-9	2.34251E-9	2.33532E-9
-61.1000E+0	2.42546E-9	2.36653E-9	2.39325E-9	2.38038E-9
-61.1500E+0	2.41639E-9	2.40587E-9	2.44305E-9	2.42666E-9
-61.2000E+0	2.46678E-9	2.47929E-9	2.49139E-9	2.47384E-9
-61.2500E+0	2.54191E-9	2.52552E-9	2.53765E-9	2.52173E-9
-61.3000E+0	2.60056E-9	2.57848E-9	2.58221E-9	2.56851E-9
-61.3500E+0	2.60222E-9	2.60724E-9	2.62611E-9	2.61508E-9
-61.4000E+0	2.69366E-9	2.67075E-9	2.67008E-9	2.66041E-9
-61.4500E+0	2.72884E-9	2.72418E-9	2.71480E-9	2.70580E-9
-61.5000E+0	2.75200E-9	2.77161E-9	2.76188E-9	2.75118E-9
-61.5500E+0	2.79273E-9	2.81295E-9	2.80769E-9	2.79523E-9
-61.6000E+0	2.85164E-9	2.81999E-9	2.85294E-9	2.84017E-9
-61.6500E+0	2.89702E-9	2.86917E-9	2.89721E-9	2.88500E-9
-61.7000E+0	2.93026E-9	2.88923E-9	2.94461E-9	2.93204E-9
-61.7500E+0	2.99687E-9	2.96923E-9	2.99281E-9	2.98059E-9
-61.8000E+0	3.05646E-9	3.02953E-9	3.04172E-9	3.02993E-9
-61.8500E+0	3.07339E-9	3.07184E-9	3.09261E-9	3.08127E-9
-61.9000E+0	3.13103E-9	3.13869E-9	3.14320E-9	3.13380E-9
-61.9500E+0	3.15299E-9	3.17214E-9	3.19408E-9	3.18866E-9
-62.0000E+0	3.24594E-9	3.24490E-9	3.24594E-9	3.24490E-9
