Experiment	CLAMPoints-dat	
Date	04.05.2016 18:50:04	
User		
X (m)	-2.000000E-7	
Y (m)	-2.000000E-7	
Tip Information	Tip  (  )	
Sample material		
CLAM Mode	0	
Pass Energy (eV)	100.000000	
Retarding Ratio	10.000000	
Focus Mode	1	
Focus (%)	0.600000	
Channeltron front (V)	200.000000	
Channeltron rear (V)	3600.000000	
Integration Time (ms)	100.000000	

[DATA]
Energy (eV)	Current (A)	Counter 2 (cps)	Bias (V)	Z (m)
27.8000E+0	-49.4231E-9	0.00000E+0	-85.4000E+0	-187.000E-9
28.0000E+0	-49.4229E-9	0.00000E+0	-85.4000E+0	-187.000E-9
28.2000E+0	-49.4233E-9	0.00000E+0	-85.4000E+0	-187.000E-9
28.4000E+0	-35.3606E-9	50.0000E+0	-85.4000E+0	-187.000E-9
28.6000E+0	-35.5403E-9	50.0000E+0	-85.4000E+0	-187.000E-9
28.8000E+0	-34.4418E-9	0.00000E+0	-85.4000E+0	-187.000E-9
29.0000E+0	-41.2602E-9	0.00000E+0	-85.4000E+0	-187.000E-9
29.2000E+0	-36.0229E-9	50.0000E+0	-85.4000E+0	-187.000E-9
29.4000E+0	-40.3877E-9	50.0000E+0	-85.4000E+0	-187.000E-9
29.6000E+0	-43.6197E-9	0.00000E+0	-85.4000E+0	-187.000E-9
29.8000E+0	-41.8586E-9	50.0000E+0	-85.4000E+0	-187.000E-9
30.0000E+0	-36.5017E-9	0.00000E+0	-85.4000E+0	-187.000E-9
30.2000E+0	-36.2163E-9	0.00000E+0	-85.4000E+0	-187.000E-9
30.4000E+0	-35.4050E-9	50.0000E+0	-85.4000E+0	-187.000E-9
30.6000E+0	-38.0387E-9	0.00000E+0	-85.4000E+0	-187.000E-9
30.8000E+0	-35.1495E-9	100.000E+0	-85.4000E+0	-187.000E-9
31.0000E+0	-34.7868E-9	100.000E+0	-85.4000E+0	-187.000E-9
31.2000E+0	-33.4732E-9	50.0000E+0	-85.4000E+0	-187.000E-9
31.4000E+0	-34.8599E-9	0.00000E+0	-85.4000E+0	-187.000E-9
31.6000E+0	-35.8712E-9	50.0000E+0	-85.4000E+0	-187.000E-9
31.8000E+0	-35.8812E-9	50.0000E+0	-85.4000E+0	-187.000E-9
32.0000E+0	-35.5336E-9	100.000E+0	-85.4000E+0	-187.000E-9
32.2000E+0	-35.7599E-9	0.00000E+0	-85.4000E+0	-187.000E-9
32.4000E+0	-35.6114E-9	50.0000E+0	-85.4000E+0	-187.000E-9
32.6000E+0	-35.0734E-9	0.00000E+0	-85.4000E+0	-187.000E-9
32.8000E+0	-35.5636E-9	0.00000E+0	-85.4000E+0	-187.000E-9
33.0000E+0	-35.2359E-9	0.00000E+0	-85.4000E+0	-187.000E-9
33.2000E+0	-35.1794E-9	0.00000E+0	-85.4000E+0	-187.000E-9
33.4000E+0	-34.8652E-9	50.0000E+0	-85.4000E+0	-187.000E-9
33.6000E+0	-35.3112E-9	50.0000E+0	-85.4000E+0	-187.000E-9
33.8000E+0	-34.7858E-9	0.00000E+0	-85.4000E+0	-187.000E-9
34.0000E+0	-34.7444E-9	50.0000E+0	-85.4000E+0	-187.000E-9
34.2000E+0	-33.8197E-9	0.00000E+0	-85.4000E+0	-187.000E-9
34.4000E+0	-34.1248E-9	50.0000E+0	-85.4000E+0	-187.000E-9
34.6000E+0	-34.0936E-9	0.00000E+0	-85.4000E+0	-187.000E-9
34.8000E+0	-35.4546E-9	50.0000E+0	-85.4000E+0	-187.000E-9
35.0000E+0	-35.0308E-9	50.0000E+0	-85.4000E+0	-187.000E-9
35.2000E+0	-34.1683E-9	0.00000E+0	-85.4000E+0	-187.000E-9
35.4000E+0	-34.3211E-9	100.000E+0	-85.4000E+0	-187.000E-9
35.6000E+0	-34.4523E-9	0.00000E+0	-85.4000E+0	-187.000E-9
35.8000E+0	-34.9079E-9	100.000E+0	-85.4000E+0	-187.000E-9
36.0000E+0	-35.3140E-9	0.00000E+0	-85.4000E+0	-187.000E-9
36.2000E+0	-34.8433E-9	0.00000E+0	-85.4000E+0	-187.000E-9
36.4000E+0	-34.7992E-9	0.00000E+0	-85.4000E+0	-187.000E-9
36.6000E+0	-34.8905E-9	0.00000E+0	-85.4000E+0	-187.000E-9
36.8000E+0	-34.7872E-9	0.00000E+0	-85.4000E+0	-187.000E-9
37.0000E+0	-34.6531E-9	0.00000E+0	-85.4000E+0	-187.000E-9
37.2000E+0	-34.1174E-9	0.00000E+0	-85.4000E+0	-187.000E-9
37.4000E+0	-33.8640E-9	0.00000E+0	-85.4000E+0	-187.000E-9
37.6000E+0	-33.9931E-9	100.000E+0	-85.4000E+0	-187.000E-9
37.8000E+0	-34.1727E-9	0.00000E+0	-85.4000E+0	-187.000E-9
38.0000E+0	-34.2303E-9	50.0000E+0	-85.4000E+0	-187.000E-9
38.2000E+0	-34.1011E-9	0.00000E+0	-85.4000E+0	-187.000E-9
38.4000E+0	-33.7842E-9	50.0000E+0	-85.4000E+0	-187.000E-9
38.6000E+0	-33.7213E-9	0.00000E+0	-85.4000E+0	-187.000E-9
38.8000E+0	-33.7420E-9	0.00000E+0	-85.4000E+0	-187.000E-9
39.0000E+0	-33.7067E-9	0.00000E+0	-85.4000E+0	-187.000E-9
39.2000E+0	-33.7356E-9	50.0000E+0	-85.4000E+0	-187.000E-9
39.4000E+0	-33.9391E-9	0.00000E+0	-85.4000E+0	-187.000E-9
39.6000E+0	-33.8947E-9	100.000E+0	-85.4000E+0	-187.000E-9
39.8000E+0	-33.8096E-9	0.00000E+0	-85.4000E+0	-187.000E-9
40.0000E+0	-36.3697E-9	0.00000E+0	-85.4000E+0	-187.000E-9
40.2000E+0	-35.8511E-9	0.00000E+0	-85.4000E+0	-187.000E-9
40.4000E+0	-35.4263E-9	0.00000E+0	-85.4000E+0	-187.000E-9
40.6000E+0	-35.7431E-9	50.0000E+0	-85.4000E+0	-187.000E-9
40.8000E+0	-35.8420E-9	50.0000E+0	-85.4000E+0	-187.000E-9
41.0000E+0	-49.4226E-9	0.00000E+0	-85.4000E+0	-187.000E-9
41.2000E+0	-49.4229E-9	50.0000E+0	-85.4000E+0	-187.000E-9
41.4000E+0	-49.4228E-9	100.000E+0	-85.4000E+0	-187.000E-9
41.6000E+0	-49.4229E-9	150.000E+0	-85.4000E+0	-187.000E-9
41.8000E+0	-49.4230E-9	50.0000E+0	-85.4000E+0	-187.000E-9
42.0000E+0	-49.4229E-9	50.0000E+0	-85.4000E+0	-187.000E-9
42.2000E+0	-49.4230E-9	0.00000E+0	-85.4000E+0	-187.000E-9
42.4000E+0	-49.4231E-9	0.00000E+0	-85.4000E+0	-187.000E-9
42.6000E+0	-49.4229E-9	0.00000E+0	-85.4000E+0	-187.000E-9
42.8000E+0	-49.2502E-9	0.00000E+0	-85.4000E+0	-187.000E-9
43.0000E+0	-42.4418E-9	0.00000E+0	-85.4000E+0	-187.000E-9
43.2000E+0	-40.9159E-9	0.00000E+0	-85.4000E+0	-187.000E-9
43.4000E+0	-40.4700E-9	0.00000E+0	-85.4000E+0	-187.000E-9
43.6000E+0	-40.9595E-9	0.00000E+0	-85.4000E+0	-187.000E-9
43.8000E+0	-40.4587E-9	0.00000E+0	-85.4000E+0	-187.000E-9
44.0000E+0	-39.3930E-9	0.00000E+0	-85.4000E+0	-187.000E-9
44.2000E+0	-39.2202E-9	0.00000E+0	-85.4000E+0	-187.000E-9
44.4000E+0	-39.1255E-9	0.00000E+0	-85.4000E+0	-187.000E-9
44.6000E+0	-40.4212E-9	50.0000E+0	-85.4000E+0	-187.000E-9
44.8000E+0	-40.2053E-9	0.00000E+0	-85.4000E+0	-187.000E-9
45.0000E+0	-40.9747E-9	0.00000E+0	-85.4000E+0	-187.000E-9
45.2000E+0	-42.8153E-9	50.0000E+0	-85.4000E+0	-187.000E-9
45.4000E+0	-43.2678E-9	0.00000E+0	-85.4000E+0	-187.000E-9
45.6000E+0	-44.1486E-9	0.00000E+0	-85.4000E+0	-187.000E-9
45.8000E+0	-43.5461E-9	0.00000E+0	-85.4000E+0	-187.000E-9
46.0000E+0	-45.4084E-9	0.00000E+0	-85.4000E+0	-187.000E-9
46.2000E+0	-45.6904E-9	0.00000E+0	-85.4000E+0	-187.000E-9
46.4000E+0	-45.1286E-9	0.00000E+0	-85.4000E+0	-187.000E-9
46.6000E+0	-43.9223E-9	0.00000E+0	-85.4000E+0	-187.000E-9
46.8000E+0	-42.9764E-9	50.0000E+0	-85.4000E+0	-187.000E-9
47.0000E+0	-43.0577E-9	0.00000E+0	-85.4000E+0	-187.000E-9
47.2000E+0	-43.7073E-9	0.00000E+0	-85.4000E+0	-187.000E-9
47.4000E+0	-45.6501E-9	0.00000E+0	-85.4000E+0	-187.000E-9
47.6000E+0	-42.9202E-9	0.00000E+0	-85.4000E+0	-187.000E-9
47.8000E+0	-42.2039E-9	0.00000E+0	-85.4000E+0	-187.000E-9
48.0000E+0	-45.3849E-9	0.00000E+0	-85.4000E+0	-187.000E-9
48.2000E+0	-43.7281E-9	0.00000E+0	-85.4000E+0	-187.000E-9
48.4000E+0	-44.8750E-9	0.00000E+0	-85.4000E+0	-187.000E-9
48.6000E+0	-45.4712E-9	50.0000E+0	-85.4000E+0	-187.000E-9
48.8000E+0	-45.1742E-9	0.00000E+0	-85.4000E+0	-187.000E-9
49.0000E+0	-49.4231E-9	0.00000E+0	-85.4000E+0	-187.000E-9
49.2000E+0	-45.4729E-9	0.00000E+0	-85.4000E+0	-187.000E-9
49.4000E+0	-49.4231E-9	0.00000E+0	-85.4000E+0	-187.000E-9
49.6000E+0	-49.4230E-9	50.0000E+0	-85.4000E+0	-187.000E-9
49.8000E+0	-49.4231E-9	0.00000E+0	-85.4000E+0	-187.000E-9
50.0000E+0	-49.4230E-9	0.00000E+0	-85.4000E+0	-187.000E-9
50.2000E+0	-49.4232E-9	0.00000E+0	-85.4000E+0	-187.000E-9
50.4000E+0	-49.4232E-9	0.00000E+0	-85.4000E+0	-187.000E-9
50.6000E+0	-49.4232E-9	0.00000E+0	-85.4000E+0	-187.000E-9
50.8000E+0	-49.4232E-9	0.00000E+0	-85.4000E+0	-187.000E-9
51.0000E+0	-47.9398E-9	0.00000E+0	-85.4000E+0	-187.000E-9
51.2000E+0	-48.0696E-9	50.0000E+0	-85.4000E+0	-187.000E-9
51.4000E+0	-48.0745E-9	0.00000E+0	-85.4000E+0	-187.000E-9
51.6000E+0	-47.0381E-9	100.000E+0	-85.4000E+0	-187.000E-9
51.8000E+0	-47.4903E-9	100.000E+0	-85.4000E+0	-187.000E-9
52.0000E+0	-44.5153E-9	0.00000E+0	-85.4000E+0	-187.000E-9
52.2000E+0	-44.8928E-9	50.0000E+0	-85.4000E+0	-187.000E-9
52.4000E+0	-45.7606E-9	0.00000E+0	-85.4000E+0	-187.000E-9
52.6000E+0	-49.4230E-9	0.00000E+0	-85.4000E+0	-187.000E-9
52.8000E+0	-40.1058E-9	0.00000E+0	-85.4000E+0	-187.000E-9
53.0000E+0	-46.6196E-9	0.00000E+0	-85.4000E+0	-187.000E-9
53.2000E+0	-40.6038E-9	50.0000E+0	-85.4000E+0	-187.000E-9
53.4000E+0	-38.2741E-9	0.00000E+0	-85.4000E+0	-187.000E-9
53.6000E+0	-40.8458E-9	0.00000E+0	-85.4000E+0	-187.000E-9
53.8000E+0	-39.2063E-9	0.00000E+0	-85.4000E+0	-187.000E-9
54.0000E+0	-38.6193E-9	50.0000E+0	-85.4000E+0	-187.000E-9
54.2000E+0	-38.8699E-9	0.00000E+0	-85.4000E+0	-187.000E-9
54.4000E+0	-39.0083E-9	0.00000E+0	-85.4000E+0	-187.000E-9
54.6000E+0	-38.8349E-9	0.00000E+0	-85.4000E+0	-187.000E-9
54.8000E+0	-38.9357E-9	0.00000E+0	-85.4000E+0	-187.000E-9
55.0000E+0	-38.6192E-9	50.0000E+0	-85.4000E+0	-187.000E-9
