Experiment	CLAMPoints-dat	
Date	14.06.2016 18:06:47	
User	Danilo	
X (m)	8.394886E-8	
Y (m)	-3.323447E-8	
Tip Information	Tip  (  )	
Sample material		
CLAM Mode	0	
Pass Energy (eV)	50.000000	
Retarding Ratio	10.000000	
Focus Mode	1	
Focus (%)	0.600000	
Channeltron front (V)	200.000000	
Channeltron rear (V)	3600.000000	
Integration Time (ms)	100.000000
loops	1

[DATA]
Energy (eV)	Current (A)	CLAM ctr (cp int.time)	Bias (V)	Z (m)
51.2500E+0	-437.575E-9	58.0000E+0	-99.4000E+0	-100.000E-9
51.5000E+0	-439.257E-9	59.0000E+0	-99.4000E+0	-100.000E-9
51.5000E+0	-441.241E-9	80.0000E+0	-99.4000E+0	-100.000E-9
51.7500E+0	-439.398E-9	58.0000E+0	-99.4000E+0	-100.000E-9
51.7500E+0	-440.458E-9	66.0000E+0	-99.4000E+0	-100.000E-9
52.0000E+0	-440.810E-9	67.0000E+0	-99.4000E+0	-100.000E-9
52.0000E+0	-437.289E-9	58.0000E+0	-99.4000E+0	-100.000E-9
52.2500E+0	-437.978E-9	53.0000E+0	-99.4000E+0	-100.000E-9
52.2500E+0	-436.593E-9	63.0000E+0	-99.4000E+0	-100.000E-9
52.5000E+0	-438.250E-9	44.0000E+0	-99.4000E+0	-100.000E-9
52.5000E+0	-436.589E-9	52.0000E+0	-99.4000E+0	-100.000E-9
52.7500E+0	-436.244E-9	39.0000E+0	-99.4000E+0	-100.000E-9
52.7500E+0	-437.785E-9	50.0000E+0	-99.4000E+0	-100.000E-9
53.0000E+0	-438.177E-9	58.0000E+0	-99.4000E+0	-100.000E-9
53.0000E+0	-439.390E-9	62.0000E+0	-99.4000E+0	-100.000E-9
53.2500E+0	-437.863E-9	65.0000E+0	-99.4000E+0	-100.000E-9
53.2500E+0	-435.991E-9	52.0000E+0	-99.4000E+0	-100.000E-9
53.5000E+0	-437.874E-9	59.0000E+0	-99.4000E+0	-100.000E-9
53.5000E+0	-436.050E-9	57.0000E+0	-99.4000E+0	-100.000E-9
53.7500E+0	-437.715E-9	58.0000E+0	-99.4000E+0	-100.000E-9
53.7500E+0	-436.448E-9	58.0000E+0	-99.4000E+0	-100.000E-9
54.0000E+0	-435.949E-9	63.0000E+0	-99.4000E+0	-100.000E-9
54.0000E+0	-436.624E-9	48.0000E+0	-99.4000E+0	-100.000E-9
54.2500E+0	-436.669E-9	54.0000E+0	-99.4000E+0	-100.000E-9
54.2500E+0	-437.793E-9	77.0000E+0	-99.4000E+0	-100.000E-9
54.5000E+0	-440.710E-9	61.0000E+0	-99.4000E+0	-100.000E-9
54.5000E+0	-443.271E-9	70.0000E+0	-99.4000E+0	-100.000E-9
54.7500E+0	-438.638E-9	66.0000E+0	-99.4000E+0	-100.000E-9
54.7500E+0	-439.531E-9	70.0000E+0	-99.4000E+0	-100.000E-9
55.0000E+0	-438.144E-9	50.0000E+0	-99.4000E+0	-100.000E-9
55.0000E+0	-439.751E-9	72.0000E+0	-99.4000E+0	-100.000E-9
55.2500E+0	-440.089E-9	56.0000E+0	-99.4000E+0	-100.000E-9
55.2500E+0	-437.566E-9	60.0000E+0	-99.4000E+0	-100.000E-9
55.5000E+0	-436.043E-9	59.0000E+0	-99.4000E+0	-100.000E-9
55.5000E+0	-439.416E-9	65.0000E+0	-99.4000E+0	-100.000E-9
55.7500E+0	-442.939E-9	67.0000E+0	-99.4000E+0	-100.000E-9
55.7500E+0	-443.320E-9	53.0000E+0	-99.4000E+0	-100.000E-9
56.0000E+0	-442.603E-9	59.0000E+0	-99.4000E+0	-100.000E-9
56.0000E+0	-443.849E-9	69.0000E+0	-99.4000E+0	-100.000E-9
56.2500E+0	-443.630E-9	67.0000E+0	-99.4000E+0	-100.000E-9
56.2500E+0	-443.519E-9	56.0000E+0	-99.4000E+0	-100.000E-9
56.5000E+0	-441.134E-9	55.0000E+0	-99.4000E+0	-100.000E-9
56.5000E+0	-442.350E-9	72.0000E+0	-99.4000E+0	-100.000E-9
56.7500E+0	-439.796E-9	67.0000E+0	-99.4000E+0	-100.000E-9
56.7500E+0	-441.693E-9	74.0000E+0	-99.4000E+0	-100.000E-9
57.0000E+0	-442.366E-9	57.0000E+0	-99.4000E+0	-100.000E-9
57.0000E+0	-440.294E-9	63.0000E+0	-99.4000E+0	-100.000E-9
57.2500E+0	-442.406E-9	53.0000E+0	-99.4000E+0	-100.000E-9
