Experiment	myLongTerm	
Date	28.01.2016 13:44:25	
User	Danilo	
Tip Information		
Sample material		

[DATA]
Time (s)	Current (A)	Counter 1 (cps)	Bias (V)	Z (m)
29.3001E+0	-337.789E-12	0.00000E+0	-7.00000E+0	-54.0041E-9
29.4001E+0	-330.160E-12	0.00000E+0	-7.00000E+0	-54.0024E-9
29.5001E+0	-333.883E-12	0.00000E+0	-7.00000E+0	-54.0030E-9
29.6001E+0	-320.424E-12	0.00000E+0	-7.00000E+0	-54.0015E-9
29.7001E+0	-331.357E-12	0.00000E+0	-7.00000E+0	-54.0048E-9
29.8001E+0	-342.908E-12	0.00000E+0	-7.00000E+0	-54.0058E-9
29.9001E+0	-338.109E-12	0.00000E+0	-7.00000E+0	-54.0051E-9
30.0001E+0	-334.493E-12	0.00000E+0	-7.00000E+0	-54.0035E-9
30.1001E+0	-330.320E-12	0.00000E+0	-7.00000E+0	-54.0002E-9
30.2001E+0	-324.880E-12	0.00000E+0	-7.00000E+0	-54.0017E-9
30.3001E+0	-323.659E-12	0.00000E+0	-7.00000E+0	-54.0014E-9
30.4001E+0	-323.400E-12	0.00000E+0	-7.00000E+0	-54.0028E-9
30.5001E+0	-348.234E-12	0.00000E+0	-7.00000E+0	-54.0045E-9
30.6001E+0	-333.165E-12	0.00000E+0	-7.00000E+0	-54.0015E-9
30.7001E+0	-326.139E-12	0.00000E+0	-7.00000E+0	-54.0030E-9
30.8001E+0	-316.160E-12	0.00000E+0	-7.00000E+0	-54.0003E-9
30.9001E+0	-328.542E-12	0.00000E+0	-7.00000E+0	-53.9991E-9
31.0001E+0	-331.601E-12	0.00000E+0	-7.00000E+0	-54.0008E-9
31.1001E+0	-323.598E-12	0.00000E+0	-7.00000E+0	-54.0006E-9
31.2001E+0	-327.726E-12	0.00000E+0	-7.00000E+0	-54.0039E-9
31.3001E+0	-324.262E-12	0.00000E+0	-7.00000E+0	-54.0030E-9
31.4001E+0	-327.321E-12	0.00000E+0	-7.00000E+0	-54.0026E-9
31.5001E+0	-321.683E-12	0.00000E+0	-7.00000E+0	-54.0010E-9
31.6001E+0	-324.735E-12	0.00000E+0	-7.00000E+0	-54.0009E-9
31.7001E+0	-335.401E-12	0.00000E+0	-7.00000E+0	-53.9964E-9
31.8001E+0	-312.749E-12	0.00000E+0	-7.00000E+0	-54.0008E-9
