Experiment	LongTerm Data	
Date	05.01.2016 16:35:53	
User		
Base Timestamp	2016-01-05 15:36:27.26	

[DATA]
Rel. Time (s)	Z (m)
455.000E+0	29.5034E-9
456.000E+0	29.3963E-9
457.000E+0	29.4941E-9
458.000E+0	29.3873E-9
459.000E+0	29.4853E-9
460.000E+0	29.3864E-9
461.000E+0	29.4772E-9
462.000E+0	29.3838E-9
462.999E+0	29.4722E-9
464.000E+0	29.3835E-9
465.000E+0	29.4562E-9
466.000E+0	29.3773E-9
467.000E+0	29.4446E-9
468.000E+0	29.3788E-9
469.000E+0	29.4376E-9
470.000E+0	29.3762E-9
471.000E+0	29.4249E-9
472.000E+0	29.3767E-9
473.000E+0	29.4165E-9
474.000E+0	29.3658E-9
475.000E+0	29.4072E-9
476.000E+0	29.3633E-9
477.000E+0	29.4081E-9
478.000E+0	29.3551E-9
479.000E+0	29.3982E-9
480.000E+0	29.3494E-9
481.000E+0	29.3841E-9
482.000E+0	29.3456E-9
483.000E+0	29.3786E-9
484.000E+0	29.3383E-9
485.000E+0	29.3696E-9
486.000E+0	29.3304E-9
487.000E+0	29.3597E-9
488.000E+0	29.3246E-9
489.000E+0	29.3422E-9
490.000E+0	29.3164E-9
491.000E+0	29.3303E-9
492.000E+0	29.3114E-9
493.000E+0	29.3167E-9
494.000E+0	29.3069E-9
495.000E+0	29.3061E-9
496.002E+0	29.3036E-9
497.000E+0	29.2988E-9
498.001E+0	29.3032E-9
499.000E+0	29.2908E-9
500.000E+0	29.2966E-9
501.002E+0	29.2877E-9
502.002E+0	29.2907E-9
503.001E+0	29.2846E-9
504.003E+0	29.2871E-9
505.004E+0	29.2811E-9
506.003E+0	29.2794E-9
507.000E+0	29.2795E-9
508.003E+0	29.2772E-9
509.000E+0	29.2814E-9
510.000E+0	29.2696E-9
511.000E+0	29.2795E-9
512.000E+0	29.2657E-9
513.000E+0	29.2720E-9
514.000E+0	29.2589E-9
515.000E+0	29.2646E-9
516.000E+0	29.2504E-9
517.000E+0	29.2515E-9
518.000E+0	29.2469E-9
519.000E+0	29.2431E-9
520.000E+0	29.2434E-9
521.000E+0	29.2378E-9
522.000E+0	29.2378E-9
523.000E+0	29.2344E-9
524.000E+0	29.2329E-9
525.003E+0	29.2329E-9
526.000E+0	29.2359E-9
527.000E+0	29.2057E-9
528.002E+0	29.2541E-9
529.000E+0	29.2344E-9
530.002E+0	29.1899E-9
531.000E+0	29.2100E-9
532.000E+0	29.2396E-9
533.000E+0	29.2219E-9
534.000E+0	29.1771E-9
535.002E+0	29.2013E-9
536.000E+0	29.2166E-9
537.000E+0	29.2047E-9
538.000E+0	29.1664E-9
539.000E+0	29.1974E-9
540.001E+0	29.1993E-9
541.000E+0	29.1735E-9
542.002E+0	29.1467E-9
543.000E+0	29.1844E-9
544.000E+0	29.1917E-9
545.000E+0	29.1473E-9
546.000E+0	29.1280E-9
547.002E+0	29.1690E-9
548.000E+0	29.1697E-9
549.000E+0	29.1330E-9
549.999E+0	29.1122E-9
551.000E+0	29.1460E-9
552.001E+0	29.1510E-9
553.000E+0	29.1204E-9
554.001E+0	29.1040E-9
555.000E+0	29.1102E-9
556.000E+0	29.1378E-9
557.001E+0	29.1353E-9
558.000E+0	29.1083E-9
559.002E+0	29.0878E-9
560.000E+0	29.1168E-9
561.000E+0	29.1275E-9
562.001E+0	29.1058E-9
563.000E+0	29.0843E-9
564.000E+0	29.1015E-9
565.000E+0	29.1250E-9
566.000E+0	29.1157E-9
567.000E+0	29.0896E-9
568.000E+0	29.0809E-9
569.000E+0	29.0725E-9
570.000E+0	29.0991E-9
571.000E+0	29.0874E-9
572.000E+0	29.0791E-9
573.000E+0	29.0741E-9
574.000E+0	29.0898E-9
575.000E+0	29.0903E-9
576.000E+0	29.0794E-9
577.000E+0	29.0618E-9
578.000E+0	29.0714E-9
579.000E+0	29.0812E-9
580.000E+0	29.0503E-9
581.000E+0	29.0441E-9
582.001E+0	29.0476E-9
583.000E+0	29.0721E-9
584.001E+0	29.0707E-9
584.999E+0	29.0392E-9
586.002E+0	29.0177E-9
587.003E+0	29.0354E-9
588.000E+0	29.0497E-9
589.003E+0	29.0386E-9
590.000E+0	29.0027E-9
591.000E+0	29.0169E-9
592.000E+0	29.0382E-9
593.000E+0	29.0386E-9
594.000E+0	29.0023E-9
595.000E+0	28.9927E-9
596.000E+0	28.9978E-9
597.000E+0	29.0246E-9
598.001E+0	29.0068E-9
599.000E+0	28.9721E-9
600.000E+0	28.9778E-9
601.000E+0	29.0008E-9
602.000E+0	29.0066E-9
603.000E+0	28.9696E-9
604.000E+0	28.9660E-9
605.000E+0	28.9622E-9
606.000E+0	28.9947E-9
607.000E+0	28.9772E-9
608.000E+0	28.9557E-9
609.000E+0	28.9433E-9
610.000E+0	28.9755E-9
611.000E+0	28.9787E-9
612.000E+0	28.9616E-9
613.000E+0	28.9250E-9
614.000E+0	28.9319E-9
615.000E+0	28.9613E-9
616.000E+0	28.9502E-9
617.000E+0	28.9173E-9
618.000E+0	28.9049E-9
619.000E+0	28.9422E-9
619.999E+0	28.9385E-9
621.000E+0	28.9374E-9
622.000E+0	28.8958E-9
623.000E+0	28.8997E-9
624.000E+0	28.9293E-9
625.000E+0	28.9323E-9
626.000E+0	28.8934E-9
627.000E+0	28.8796E-9
628.000E+0	28.9134E-9
629.000E+0	28.9175E-9
630.000E+0	28.9082E-9
631.000E+0	28.8612E-9
632.000E+0	28.8513E-9
633.000E+0	28.8896E-9
634.000E+0	28.9036E-9
635.000E+0	28.8709E-9
636.000E+0	28.8359E-9
637.000E+0	28.8651E-9
638.000E+0	28.8956E-9
639.000E+0	28.8745E-9
640.000E+0	28.8284E-9
641.000E+0	28.8293E-9
642.000E+0	28.8663E-9
643.000E+0	28.8811E-9
644.000E+0	28.8558E-9
645.000E+0	28.8185E-9
646.000E+0	28.8260E-9
647.000E+0	28.8643E-9
