Experiment	CLAM-python-txt
Date	28/01/16 11:49
User	Danilo A. Zanin
Clam Mode	CAE
Pass Energy (eV)	100.0
Focus Mode	3
Focus Value	0.6
Integration Time (ms)	100.0
Loops	2
Channeltron Rear (V)	3600.0
Channeltron Front (V)	200.0
Comment	Header modified manually to use functions of nanonis

[DATA]
Energy [eV]	Counts	L1 [V]	L2 [V]	Ch_rear [V]	Ch_front [V]	H+ [V]	H- [V]	Retarder [V]
67.75	0	178.7245	178.7245	3732.25	132.25	51.1179245283	13.3820754717	32.25
68.0	0	179.384	179.384	3732.0	132.0	50.8679245283	13.1320754717	32.0
68.25	0	180.0435	180.0435	3731.75	131.75	50.6179245283	12.8820754717	31.75
68.5	0	180.703	180.703	3731.5	131.5	50.3679245283	12.6320754717	31.5
68.75	0	181.3625	181.3625	3731.25	131.25	50.1179245283	12.3820754717	31.25
69.0	0	182.022	182.022	3731.0	131.0	49.8679245283	12.1320754717	31.0
69.25	1	182.6815	182.6815	3730.75	130.75	49.6179245283	11.8820754717	30.75
69.5	0	183.341	183.341	3730.5	130.5	49.3679245283	11.6320754717	30.5
69.75	0	184.0005	184.0005	3730.25	130.25	49.1179245283	11.3820754717	30.25
70.0	0	184.66	184.66	3730.0	130.0	48.8679245283	11.1320754717	30.0
70.25	0	185.3195	185.3195	3729.75	129.75	48.6179245283	10.8820754717	29.75
70.5	0	185.979	185.979	3729.5	129.5	48.3679245283	10.6320754717	29.5
70.75	0	186.6385	186.6385	3729.25	129.25	48.1179245283	10.3820754717	29.25
71.0	0	187.298	187.298	3729.0	129.0	47.8679245283	10.1320754717	29.0
71.25	2	187.9575	187.9575	3728.75	128.75	47.6179245283	9.8820754717	28.75
71.5	0	188.617	188.617	3728.5	128.5	47.3679245283	9.6320754717	28.5
71.75	0	189.2765	189.2765	3728.25	128.25	47.1179245283	9.3820754717	28.25
72.0	0	189.936	189.936	3728.0	128.0	46.8679245283	9.1320754717	28.0
72.25	0	190.5955	190.5955	3727.75	127.75	46.6179245283	8.8820754717	27.75
72.5	0	191.255	191.255	3727.5	127.5	46.3679245283	8.6320754717	27.5
72.75	0	191.9145	191.9145	3727.25	127.25	46.1179245283	8.3820754717	27.25
